消費生活協同組合,生活協同組合,生協,CO・OP,COOP,コープ
ナチス,Nazis,ナチ
世界銀行,世銀
中央社会保険医療協議会,中医協
中央労働災害防止協会,中災防
中央委員会,中央委
中央教育審議会,中教審
中央環境審議会,中環審
事故調査委員会,事故調
任意協議会,任意協
日本スポーツ協会,日本体育協会,体協
入国管理局,入管
全国農業協同組合中央会,全国農協中央会,全中,JA全中
全国銀行協会,全銀協
公正取引委員会,公取委,公取
日本原子力研究開発機構,原子力機構
原子力発電環境整備機構,原環機構
日本原子力研究所,原研
合併協議会,合併協
商工組合中央金庫,商工中金
国立大学協会,国大協
国際連合,UN,国連,United Nations
大阪商工会議所,大商
宇宙科学研究所,宇宙研,ISAS
実行委員会,実行委
技術研究所,技研
日本損害保険協会,損保協会
放射線医学総合研究所,放医研
教育委員会,教委
日本医師会,日医
日本商工会議所,日商
日本生活協同組合連合会,日本生協連,日生協
日本税理士会連合会,日税連
日本自動車工業会,自工会
映画研究会,映研
東京商工会議所,東商
理化学研究所,理研
社会福祉協議会,社協
落語研究会,落研
議院運営委員会,議運
議員連盟,議連
農林中央金庫,農林中金
農業試験場,農試
選挙管理委員会,選挙管理委,選管委,選管
陸上競技連盟,陸連
英国放送協会,BBC,イギリス放送協会,British Broadcasting Corporation
国際標準化機構,ISO,International Organization for Standardization
カブスカウト,CUB SCOUT
マフィア,Mafia
パリクラブ,The Paris Club
アルカイダ,アルカイーダ,アルカーイダ,Al Qaeda,Al-Qaeda
タリバン,タリバーン,ターリバーン,Taliban
阪神タイガース,阪神,タイガース,Tigers
イルミナティ,illuminati
ロータリークラブ,ロータリー・クラブ,Rotary Club,ロータリー,ロータリ,rotary
地球環境議員連盟,GLOBE,グローブ,Global Legislators Organization for a Balanced Environment
インタースプートニク,Intersputnik
ジェスイット,Jesuit
ロイズ,Lloyd's
シークレットサービス,シークレット・サービス,Secret Service
ナショナルトラスト,ナショナル・トラスト,National Trust
総合研究開発機構,National Institute for Research Advancement,NIRA,ニラ
ローマクラブ,ローマ・クラブ,Club of Rome
国際オリンピック委員会,IOC,International Olympic Committee
アイビーリーグ,Ivy League
アジア太平洋協議会,ASPAC,アスパック,Asian and Pacific Council
インタービジョン,Intervision
石油輸出国機構,OPEC,オペック,Organization of the Petroleum Exporting Countries
経済相互援助会議,COMECON,コメコン,Council for Mutual Economic Assistance
スコットランドヤード,Scotland Yard
ブルーインパルス,Blue Impulse
ロイヤルバレエ,Royal Ballet
国際通貨基金,IMF,アイエムエフ,International Monetary Fund
国際金属労働組合連合,IMF,アイエムエフ,International Metalworkers' Federation
欧州共同体,EC,ヨーロッパ共同体,European Community
欧州委員会,EC,ヨーロッパ委員会,ヨーロッパ連合委員会,EU委員会,European Commission
アムネスティインターナショナル,Amnesty International,AI
社会主義インターナショナル,SI,Socialist International
北欧理事会,NC,Nordic Council
次の内閣,NC,next cabinet
非政府組織,NGO,エヌジーオー,nongovernmental organization
経済協力開発機構,OECD,Organization for Economic Cooperation and Development
国際消費者機構,CI,Consumers International
ユーロビジョン,Eurovision
クラフトユニオン,craft union
ブッククラブ,Book club
トラピスト,Trappists
ガールスカウト,Girl Scouts
コミンフォルム,Cominform
ボーイスカウト,Boy Scouts
国際銀行間通信協会,SWIFT,スウィフト,Society for Worldwide Interbank Financial Telecommunication
バウハウス,Bauhaus
ベネルクス,Benelux
グリーンベレー,Green Beret
日本貿易振興機構,JETRO,ジェトロ,Japan External Trade Organization
フリーメーソン,Freemason
ペンクラブ,P.E.N.Club
国連児童基金,UNICEF,ユニセフ,United Nations Children's Fund
国連教育科学文化機関,UNESCO,ユネスコ,United Nations Educational\u002C Scientific and Cultural Organization
ライオンズクラブ,Lions Club
日本音楽著作権協会,JASRAC,ジャスラック,Japanese Society for Rights of Authors\u002C Composers and Publishers
コントラ,contra
東南アジア諸国連合,ASEAN,アセアン,Association of Southeast Asian Nations
北極評議会,AC,Arctic Council
AC,Advertising Council
アジア太平洋経済社会委員会,ESCAP,エスカップ,Economic and Social Commission for Asia and the Pacific
アジア救済連盟,LARA,ララ,Licensed Agency for Relief on Asia
宇宙航空研究開発機構,JAXA,Japan Aerospace Exploration Agency
日本私立学校振興・共済事業団,私学事業団,私学共済
警察職員生活協同組合,警生協
健康保険組合連合会,健保連
国民健康保険団体連合会,国保連合会,国保連
電気通信産業労働者共済生活協同組合,電通共済生協
全国共済水産業協同組合連合会,JF共水連
健康保険組合,健保組合
全国労働者共済生活協同組合連合会,全労済
都道府県労働委員会,地方労働委員会,地労委
地方公共団体,地方団体,地方自治体,地方自治団体,自治団体,自治体
財務省,大蔵省
環境省,環境庁
国家公務員共済組合連合会,KKR
全国交通運輸産業労働者共済生活協同組合,交運共済
全国理容生活衛生同業組合連合会,全理連
中小企業基盤整備機構,中小機構
日本勤労者住宅協会,勤住協
日本郵政グループ労働者共済生活協同組合,JP共済生協
県民共済生活協同組合,県民共済
都民共済生活協同組合,都民共済
道民共済生活協同組合,道民共済
府民共済生活協同組合,府民共済
消費生活協同組合連合会,生活協同組合連合会
地方住宅供給公社,住宅供給公社
特定公益増進法人,特増法人,特増
日本年金機構,年金機構,社会保険庁,社保庁
国立国語研究所,国語研,国研
国立教育政策研究所,国研
証券取引等監視委員会,SESC
教職員共済生活協同組合,教職員共済
知的障害者更生相談所,知更相
世界保健機関,WHO
国際労働機関,ILO
国際協力機構,JICA,ジャイカ
国連平和維持軍,PKF
欧州連合,EU,ヨーロッパ連合
欧州経済共同体,EEC,ヨーロッパ経済共同体
ASEAN自由貿易地域,AFTA,アフタ
非営利団体,NPO,非営利組織
